Departamento,Municipio,Zona,Centro,Acta,Inconsistencias,DC,LIBRE,PINU,PLH,PNH,PDF Link
VALLE,SAN LORENZO,01,003_BO. LA CEIBITA - ESC. FRANCISCO MORAZAN,17782,1,0,29,0,103,67,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17782.pdf
VALLE,SAN LORENZO,01,014_BO. VICTORIA - ESC. RASARIO EMPERATRIZ CARIAS,17823,1,0,46,2,104,54,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17823.pdf
VALLE,SAN LORENZO,01,016_COL. DIECISIETE DE SEPTIEMBRE - ESC. FRANCISCO REYES POSADAS,17831,1,0,22,0,81,95,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17831.pdf
VALLE,SAN LORENZO,02,003_EL COMERCIO - CEB. VICENTE CACERES,17837,1,0,14,1,95,68,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17837.pdf
VALLE,SAN LORENZO,02,012_LA CAUCARA - ESC. LEMPIRA,17856,1,0,29,0,82,64,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17856.pdf
VALLE,SAN LORENZO,02,015_ALTO DE LA FLOR - CEB. ENEAS ANTONIO ALVARADO,17862,1,0,21,0,86,60,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17862.pdf
YORO,YORO,01,002_BO. EL CENTRO - ESC. ESTHER GUMPER,17874,1,0,44,0,70,90,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17874.pdf
YORO,YORO,01,002_BO. EL CENTRO - ESC. ESTHER GUMPER,17876,1,0,36,0,84,62,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17876.pdf
YORO,YORO,01,004_BO. EL PANTANO - CEB PEDRO PASCUAL AMAYA,17890,1,0,48,1,80,59,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17890.pdf
YORO,YORO,01,004_BO. EL PANTANO - CEB PEDRO PASCUAL AMAYA,17898,1,0,31,0,72,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17898.pdf
YORO,YORO,01,005_BO. LAS DELICIAS - INST. DESPERTAD YOREÑO,17902,1,0,44,3,70,73,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17902.pdf
YORO,YORO,01,006_COL. RAFAEL DIAZ CHAVEZ - CEB DARIO ROLANDO URBINA FERNANDEZ,17908,1,1,30,1,67,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17908.pdf
YORO,YORO,01,007_COL. OSCAR ORLANDO BURGOS - ESC. MOISES STARKMAN,17912,1,0,20,0,65,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17912.pdf
YORO,YORO,02,002_AYAPA - CEB DIONISIO ROMERO,17920,1,1,27,0,41,114,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17920.pdf
YORO,YORO,02,004_EL COCOGUARE - ESC. ESTEBAN GUARDIOLA No. 2,17923,1,0,16,0,42,110,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17923.pdf
YORO,YORO,02,004_EL COCOGUARE - ESC. ESTEBAN GUARDIOLA No. 2,17924,1,0,21,0,25,106,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17924.pdf
YORO,YORO,02,005_PUNTA OCOTE - CEB POLICARPO BONILLA,17927,1,1,29,0,78,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17927.pdf
YORO,YORO,02,009_LA GUATA - CEB JUAN LINDO,17937,1,0,23,1,55,67,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17937.pdf
YORO,YORO,02,009_LA GUATA - CEB JUAN LINDO,17938,1,1,27,0,65,56,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17938.pdf
YORO,YORO,02,016_PLAN GRANDE - ESC. LEMPIRA,17958,1,0,32,0,30,74,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17958.pdf
YORO,YORO,02,023_SAN BLAS - ESC. MARIA FELIX RAMIREZ,17970,1,0,16,0,70,103,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17970.pdf
YORO,YORO,02,027_MEJIA - ESC. DIONISIO ANDRADE,17980,1,0,30,0,42,80,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17980.pdf
YORO,YORO,02,030_SUBIRANA - CEB JOSE CECILIO DEL VALLE,17990,1,1,29,1,103,71,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17990.pdf
